Sample Name,Title
GSM1677473,M_PGC_4W_embryo3_sc1
GSM1677474,M_PGC_4W_embryo3_sc2
GSM1677475,M_PGC_4W_embryo3_sc3
GSM1677476,M_PGC_4W_embryo3_sc4
GSM1677477,M_PGC_4W_embryo3_sc5
GSM1677478,M_PGC_4W_embryo3_sc6
GSM1677479,M_PGC_7W_embryo1_sc1
GSM1677480,M_PGC_7W_embryo1_sc2
GSM1677481,M_PGC_7W_embryo1_sc3
GSM1677482,M_PGC_7W_embryo1_sc4
GSM1677483,M_PGC_7W_embryo1_sc5
GSM1677484,M_PGC_7W_embryo1_sc6
GSM1677485,M_PGC_7W_embryo1_sc7
GSM1677486,M_PGC_7W_embryo1_sc8
GSM1677487,M_PGC_7W_embryo1_sc9
GSM1677488,M_PGC_7W_embryo1_sc10
GSM1677489,M_PGC_7W_embryo1_sc11
GSM1677490,M_PGC_7W_embryo1_sc12
GSM1677491,M_PGC_7W_embryo1_sc13
GSM1677492,M_PGC_7W_embryo1_sc14
GSM1677493,M_PGC_7W_embryo1_sc15
GSM1677494,M_PGC_7W_embryo1_sc16
GSM1677495,M_PGC_7W_embryo2_sc1
GSM1677496,M_PGC_7W_embryo2_sc2
GSM1677497,M_PGC_7W_embryo2_sc3
GSM1677498,M_PGC_7W_embryo2_sc4
GSM1677499,M_PGC_7W_embryo2_sc5
GSM1677500,M_PGC_7W_embryo2_sc6
GSM1677501,M_PGC_7W_embryo2_sc7
GSM1677502,M_PGC_7W_embryo2_sc8
GSM1677503,M_PGC_7W_embryo2_sc9
GSM1677504,M_PGC_7W_embryo2_sc10
GSM1677505,M_PGC_7W_embryo3_sc1
GSM1677506,M_PGC_7W_embryo3_sc2
GSM1677507,M_PGC_7W_embryo3_sc3
GSM1677508,M_PGC_7W_embryo3_sc4
GSM1677509,M_PGC_7W_embryo3_sc5
GSM1677510,M_PGC_7W_embryo3_sc6
GSM1677511,M_PGC_7W_embryo3_sc7
GSM1677512,M_PGC_7W_embryo3_sc8
GSM1677513,M_PGC_7W_embryo3_sc9
GSM1677514,M_PGC_7W_embryo3_sc10
GSM1677515,M_PGC_7W_embryo3_sc11
GSM1677516,M_PGC_7W_embryo3_sc12
GSM1677517,M_PGC_7W_embryo3_sc13
GSM1677518,M_PGC_10W_embryo1_sc1
GSM1677519,M_PGC_10W_embryo1_sc2
GSM1677520,M_PGC_10W_embryo1_sc3
GSM1677521,M_PGC_10W_embryo1_sc4
GSM1677522,M_PGC_10W_embryo1_sc5
GSM1677523,M_PGC_10W_embryo1_sc6
GSM1677524,M_PGC_10W_embryo1_sc7
GSM1677525,M_PGC_10W_embryo1_sc8
GSM1677526,M_PGC_10W_embryo1_sc9
GSM1677527,M_PGC_10W_embryo1_sc10
GSM1677528,M_PGC_10W_embryo1_sc11
GSM1677529,M_PGC_10W_embryo1_sc12
GSM1677530,M_PGC_10W_embryo1_sc13
GSM1677531,M_PGC_10W_embryo1_sc14
GSM1677532,M_PGC_10W_embryo1_sc15
GSM1677533,M_PGC_10W_embryo1_sc16
GSM1677534,M_PGC_10W_embryo1_sc17
GSM1677535,M_PGC_10W_embryo1_sc18
GSM1677536,M_PGC_10W_embryo1_sc19
GSM1677537,M_PGC_10W_embryo1_sc20
GSM1677538,M_PGC_11W_embryo1_sc1
GSM1677539,M_PGC_11W_embryo1_sc2
GSM1677540,M_PGC_11W_embryo1_sc3
GSM1677541,M_PGC_11W_embryo1_sc4
GSM1677542,M_PGC_11W_embryo1_sc5
GSM1677543,M_PGC_11W_embryo1_sc6
GSM1677544,M_PGC_11W_embryo1_sc7
GSM1677545,M_PGC_11W_embryo1_sc8
GSM1677546,M_PGC_11W_embryo1_sc9
GSM1677547,M_PGC_11W_embryo1_sc10
GSM1677548,M_PGC_11W_embryo1_sc11
GSM1677549,M_PGC_11W_embryo1_sc12
GSM1677550,M_PGC_11W_embryo2_sc1
GSM1677551,M_PGC_11W_embryo2_sc2
GSM1677552,M_PGC_11W_embryo2_sc3
GSM1677553,M_PGC_11W_embryo2_sc4
GSM1677554,M_PGC_11W_embryo2_sc5
GSM1677555,M_PGC_11W_embryo2_sc6
GSM1677556,M_PGC_11W_embryo2_sc7
GSM1677557,M_PGC_11W_embryo2_sc8
GSM1677558,M_PGC_11W_embryo2_sc9
GSM1677559,M_PGC_11W_embryo2_sc10
GSM1677560,M_PGC_11W_embryo2_sc11
GSM1677561,M_PGC_11W_embryo2_sc12
GSM1677562,M_PGC_11W_embryo2_sc13
GSM1677563,M_PGC_11W_embryo2_sc14
GSM1677564,M_PGC_11W_embryo2_sc15
GSM1677565,M_PGC_19W_embryo1_sc1
GSM1677566,M_PGC_19W_embryo1_sc2
GSM1677567,M_PGC_19W_embryo1_sc3
GSM1677568,M_PGC_19W_embryo1_sc4
GSM1677569,M_PGC_19W_embryo1_sc5
GSM1677570,M_PGC_19W_embryo1_sc6
GSM1677571,M_PGC_19W_embryo1_sc7
GSM1677572,M_PGC_19W_embryo1_sc8
GSM1677573,M_PGC_19W_embryo1_sc9
GSM1677574,M_PGC_19W_embryo1_sc10
GSM1677575,M_PGC_19W_embryo1_sc11
GSM1677576,M_PGC_19W_embryo1_sc12
GSM1677577,M_PGC_19W_embryo1_sc13
GSM1677578,M_PGC_19W_embryo1_sc14
GSM1677579,M_PGC_19W_embryo1_sc15
GSM1677580,M_PGC_19W_embryo1_sc16
GSM1677581,M_PGC_19W_embryo1_sc17
GSM1677582,M_PGC_19W_embryo1_sc18
GSM1677583,M_PGC_19W_embryo1_sc19
GSM1677584,M_PGC_19W_embryo1_sc20
GSM1677585,M_PGC_19W_embryo1_sc21
GSM1677586,M_PGC_19W_embryo1_sc22
GSM1677587,M_PGC_19W_embryo1_sc23
GSM1677588,M_PGC_19W_embryo1_sc24
GSM1677589,M_PGC_19W_embryo1_sc25
GSM1677590,M_PGC_19W_embryo1_sc26
GSM1677591,M_PGC_19W_embryo1_sc27
GSM1677592,M_PGC_19W_embryo1_sc28
GSM1677593,M_PGC_19W_embryo1_sc29
GSM1677594,M_PGC_19W_embryo1_sc30
GSM1677595,M_PGC_19W_embryo1_sc31
GSM1677596,M_PGC_19W_embryo2_sc1
GSM1677597,M_PGC_19W_embryo2_sc2
GSM1677598,M_PGC_19W_embryo2_sc3
GSM1677599,M_PGC_19W_embryo2_sc4
GSM1677600,M_PGC_19W_embryo2_sc5
GSM1677601,M_PGC_19W_embryo2_sc6
GSM1677602,M_PGC_19W_embryo2_sc7
GSM1677603,M_PGC_19W_embryo2_sc8
GSM1677604,M_PGC_19W_embryo2_sc9
GSM1677605,M_PGC_19W_embryo2_sc10
GSM1677606,M_PGC_19W_embryo2_sc11
GSM1677607,M_PGC_19W_embryo2_sc12
GSM1677608,M_PGC_19W_embryo2_sc13
GSM1677609,M_PGC_19W_embryo2_sc14
GSM1677610,M_PGC_19W_embryo2_sc15
GSM1677611,M_PGC_19W_embryo2_sc16
GSM1677612,M_PGC_19W_embryo2_sc17
GSM1677613,M_PGC_19W_embryo2_sc18
GSM1677614,M_PGC_19W_embryo2_sc19
GSM1677615,M_PGC_19W_embryo2_sc20
GSM1677616,M_PGC_19W_embryo2_sc21
GSM1677617,M_PGC_19W_embryo2_sc22
GSM1677618,M_PGC_19W_embryo2_sc23
GSM1677619,M_PGC_19W_embryo2_sc24
GSM1677620,M_PGC_19W_embryo2_sc25
GSM1677621,M_PGC_19W_embryo2_sc26
GSM1677622,F_PGC_4W_embryo1_sc1
GSM1677623,F_PGC_4W_embryo1_sc2
GSM1677624,F_PGC_4W_embryo2_sc1
GSM1677625,F_PGC_4W_embryo2_sc2
GSM1677626,F_PGC_4W_embryo2_sc3
GSM1677627,F_PGC_4W_embryo2_sc4
GSM1677628,F_PGC_4W_embryo2_sc5
GSM1677629,F_PGC_4W_embryo2_sc6
GSM1677630,F_PGC_4W_embryo2_sc7
GSM1677631,F_PGC_4W_embryo2_sc8
GSM1677632,F_PGC_4W_embryo2_sc9
GSM1677633,F_PGC_4W_embryo2_sc10
GSM1677634,F_PGC_8W_embryo1_sc1
GSM1677635,F_PGC_8W_embryo1_sc2
GSM1677636,F_PGC_8W_embryo1_sc3
GSM1677637,F_PGC_8W_embryo1_sc4
GSM1677638,F_PGC_8W_embryo1_sc5
GSM1677639,F_PGC_8W_embryo1_sc6
GSM1677640,F_PGC_8W_embryo1_sc7
GSM1677641,F_PGC_8W_embryo1_sc8
GSM1677642,F_PGC_8W_embryo1_sc9
GSM1677643,F_PGC_8W_embryo1_sc10
GSM1677644,F_PGC_8W_embryo1_sc11
GSM1677645,F_PGC_8W_embryo1_sc12
GSM1677646,F_PGC_8W_embryo1_sc13
GSM1677647,F_PGC_8W_embryo1_sc14
GSM1677648,F_PGC_8W_embryo1_sc15
GSM1677649,F_PGC_8W_embryo1_sc16
GSM1677650,F_PGC_8W_embryo1_sc17
GSM1677651,F_PGC_8W_embryo1_sc18
GSM1677652,F_PGC_10W_embryo2_sc1
GSM1677653,F_PGC_10W_embryo2_sc2
GSM1677654,F_PGC_10W_embryo2_sc3
GSM1677655,F_PGC_10W_embryo2_sc4
GSM1677656,F_PGC_10W_embryo2_sc5
GSM1677657,F_PGC_10W_embryo2_sc6
GSM1677658,F_PGC_10W_embryo2_sc7
GSM1677659,F_PGC_10W_embryo2_sc8
GSM1677660,F_PGC_10W_embryo2_sc9
GSM1677661,F_PGC_10W_embryo2_sc10
GSM1677662,F_PGC_10W_embryo2_sc11
GSM1677663,F_PGC_10W_embryo2_sc12
GSM1677664,F_PGC_10W_embryo2_sc13
GSM1677665,F_PGC_11W_embryo3_sc1
GSM1677666,F_PGC_11W_embryo3_sc2
GSM1677667,F_PGC_11W_embryo3_sc3
GSM1677668,F_PGC_11W_embryo3_sc4
GSM1677669,F_PGC_11W_embryo3_sc5
GSM1677670,F_PGC_11W_embryo3_sc6
GSM1677671,F_PGC_11W_embryo3_sc7
GSM1677672,F_PGC_11W_embryo3_sc8
GSM1677673,F_PGC_11W_embryo3_sc9
GSM1677674,F_PGC_11W_embryo3_sc10
GSM1677675,F_PGC_17W_embryo1_sc1
GSM1677676,F_PGC_17W_embryo1_sc2
GSM1677677,F_PGC_17W_embryo1_sc3
GSM1677678,F_PGC_17W_embryo1_sc4
GSM1677679,F_PGC_17W_embryo1_sc5
GSM1677680,F_PGC_17W_embryo1_sc6
GSM1677681,F_PGC_17W_embryo1_sc7
GSM1677682,F_PGC_17W_embryo1_sc8
GSM1677683,F_PGC_17W_embryo1_sc9
GSM1677684,F_PGC_17W_embryo1_sc10
GSM1677685,F_PGC_17W_embryo1_sc11
GSM1677686,F_PGC_17W_embryo1_sc12
GSM1677687,F_PGC_17W_embryo1_sc13
GSM1677688,F_PGC_17W_embryo1_sc14
GSM1677689,F_PGC_17W_embryo1_sc15
GSM1677690,F_PGC_17W_embryo1_sc16
GSM1677691,F_PGC_17W_embryo1_sc17
GSM1677692,F_PGC_17W_embryo1_sc18
GSM1677693,F_PGC_17W_embryo1_sc19
GSM1677694,F_PGC_17W_embryo1_sc20
GSM1677695,F_PGC_17W_embryo1_sc21
GSM1677696,F_PGC_17W_embryo1_sc22
GSM1677697,F_PGC_17W_embryo1_sc23
GSM1677698,F_PGC_17W_embryo1_sc24
GSM1677699,F_PGC_17W_embryo1_sc25
GSM1677700,F_PGC_17W_embryo1_sc26
GSM1677701,F_PGC_17W_embryo1_sc27
GSM1677702,F_PGC_17W_embryo1_sc28
GSM1677703,F_PGC_17W_embryo1_sc29
GSM1677704,F_PGC_17W_embryo1_sc30
GSM1677705,F_PGC_17W_embryo1_sc31
GSM1677706,M_Soma_7W_embryo1_sc1
GSM1677707,M_Soma_7W_embryo1_sc2
GSM1677708,M_Soma_7W_embryo1_sc3
GSM1677709,M_Soma_7W_embryo1_sc4
GSM1677710,M_Soma_7W_embryo1_sc5
GSM1677711,M_Soma_7W_embryo1_sc6
GSM1677712,M_Soma_7W_embryo1_sc7
GSM1677713,M_Soma_7W_embryo1_sc8
GSM1677714,M_Soma_7W_embryo1_sc9
GSM1677715,M_Soma_7W_embryo1_sc10
GSM1677716,M_Soma_7W_embryo1_sc11
GSM1677717,M_Soma_7W_embryo1_sc12
GSM1677718,M_Soma_7W_embryo1_sc13
GSM1677719,M_Soma_7W_embryo2_sc1
GSM1677720,M_Soma_7W_embryo2_sc2
GSM1677721,M_Soma_7W_embryo2_sc3
GSM1677722,M_Soma_7W_embryo2_sc4
GSM1677723,M_Soma_7W_embryo2_sc5
GSM1677724,M_Soma_7W_embryo2_sc6
GSM1677725,M_Soma_7W_embryo2_sc7
GSM1677726,M_Soma_7W_embryo3_sc1
GSM1677727,M_Soma_7W_embryo3_sc2
GSM1677728,M_Soma_7W_embryo3_sc3
GSM1677729,M_Soma_7W_embryo3_sc4
GSM1677730,M_Soma_7W_embryo3_sc5
GSM1677731,M_Soma_7W_embryo3_sc6
GSM1677732,M_Soma_10W_embryo1_sc1
GSM1677733,M_Soma_10W_embryo1_sc2
GSM1677734,M_Soma_10W_embryo1_sc3
GSM1677735,M_Soma_10W_embryo1_sc4
GSM1677736,M_Soma_10W_embryo1_sc5
GSM1677737,M_Soma_10W_embryo1_sc6
GSM1677738,M_Soma_10W_embryo1_sc7
GSM1677739,M_Soma_10W_embryo1_sc8
GSM1677740,M_Soma_10W_embryo1_sc9
GSM1677741,M_Soma_10W_embryo1_sc10
GSM1677742,M_Soma_10W_embryo1_sc11
GSM1677743,M_Soma_11W_embryo1_sc1
GSM1677744,M_Soma_11W_embryo1_sc2
GSM1677745,M_Soma_11W_embryo2_sc1
GSM1677746,M_Soma_11W_embryo2_sc2
GSM1677747,M_Soma_11W_embryo2_sc3
GSM1677748,M_Soma_11W_embryo2_sc4
GSM1677749,M_Soma_11W_embryo2_sc5
GSM1677750,M_Soma_11W_embryo2_sc6
GSM1677751,M_Soma_19W_embryo1_sc1
GSM1677752,M_Soma_19W_embryo1_sc2
GSM1677753,M_Soma_19W_embryo2_sc1
GSM1677754,F_Soma_4W_embryo2_sc1
GSM1677755,F_Soma_4W_embryo2_sc2
GSM1677756,F_Soma_4W_embryo2_sc3
GSM1677757,F_Soma_4W_embryo2_sc4
GSM1677758,F_Soma_4W_embryo2_sc5
GSM1677759,F_Soma_4W_embryo2_sc6
GSM1677760,F_Soma_8W_embryo1_sc1
GSM1677761,F_Soma_8W_embryo1_sc2
GSM1677762,F_Soma_8W_embryo1_sc3
GSM1677763,F_Soma_8W_embryo1_sc4
GSM1677764,F_Soma_8W_embryo1_sc5
GSM1677765,F_Soma_8W_embryo1_sc6
GSM1677766,F_Soma_8W_embryo1_sc7
GSM1677767,F_Soma_8W_embryo1_sc8
GSM1677768,F_Soma_8W_embryo1_sc9
GSM1677769,F_Soma_8W_embryo1_sc10
GSM1677770,F_Soma_10W_embryo2_sc1
GSM1677771,F_Soma_10W_embryo2_sc2
GSM1677772,F_Soma_10W_embryo2_sc3
GSM1677773,F_Soma_11W_embryo3_sc1
GSM1677774,F_Soma_11W_embryo3_sc2
GSM1677775,F_Soma_11W_embryo3_sc3
GSM1677776,F_Soma_11W_embryo3_sc4
GSM1677777,F_Soma_11W_embryo3_sc5
GSM1677778,F_Soma_11W_embryo3_sc6
GSM1677779,F_Soma_11W_embryo3_sc7
GSM1677780,F_Soma_11W_embryo3_sc8
GSM1677781,F_Soma_11W_embryo3_sc9
GSM1677782,F_Soma_11W_embryo3_sc10
GSM1677783,F_Soma_17W_embryo1_sc1
GSM1677784,F_Soma_17W_embryo1_sc2
GSM1677785,F_Soma_17W_embryo1_sc3
GSM1677786,F_Soma_17W_embryo1_sc4
GSM1677787,F_Soma_17W_embryo1_sc5
GSM1677788,F_Soma_17W_embryo1_sc6
GSM1677789,F_Soma_17W_embryo1_sc7
GSM1677790,F_Soma_17W_embryo1_sc8
GSM1677791,F_Soma_17W_embryo1_sc9
GSM1677792,F_PGC_8W_embryo1_ps1
GSM1677793,F_PGC_8W_embryo1_ps2
GSM1677794,F_PGC_8W_embryo1_ps3
GSM1677795,F_PGC_8W_embryo1_ps4
GSM1677796,F_PGC_8W_embryo1_ps5
GSM1677797,F_PGC_8W_embryo1_ps6
GSM1677798,F_PGC_8W_embryo1_ps7
GSM1677799,F_PGC_8W_embryo1_ps8
GSM1677800,F_PGC_8W_embryo1_ps9
GSM1677801,Brain_5W_embryo1_HiSeq2000
GSM1677802,Brain_5W_embryo1_HiSeq2500
GSM1677803,Brain_5W_embryo1_HiSeq2500_deeper
GSM1677804,Heart_5W_embryo1_HiSeq2000
GSM1677805,Heart_5W_embryo1_HiSeq2500
GSM1677806,Heart_5W_embryo1_HiSeq2500_deeper
GSM1677807,PGC_7W_embryo1_M_HiSeq2000
GSM1677808,PGC_7W_embryo1_M_HiSeq2500
GSM1677809,PGC_7W_embryo2_M_HiSeq2000
GSM1677810,PGC_7W_embryo2_M_HiSeq2500
GSM1677811,PGC_10W_embryo1_M_HiSeq2000
GSM1677812,PGC_10W_embryo1_M_HiSeq2500
GSM1677813,PGC_11W_embryo1_M_rep1_HiSeq2000
GSM1677814,PGC_11W_embryo1_M_rep1_HiSeq2500
GSM1677815,PGC_11W_embryo1_M_rep2_HiSeq2000
GSM1677816,PGC_11W_embryo1_M_rep2_HiSeq2500
GSM1677817,PGC_13W_embryo1_M_HiSeq2500
GSM1677818,PGC_19W_embryo1_M_HiSeq2500
GSM1677819,PGC_19W_embryo2_M_HiSeq2500
GSM1677820,Soma_7W_embryo1_M_HiSeq2000
GSM1677821,Soma_7W_embryo1_M_HiSeq2500
GSM1677822,Soma_7W_embryo2_M_HiSeq2000
GSM1677823,Soma_7W_embryo2_M_HiSeq2500
GSM1677824,Soma_10W_embryo1_M_HiSeq2000
GSM1677825,Soma_10W_embryo1_M_HiSeq2500
GSM1677826,Soma_11W_embryo1_M_HiSeq2000
GSM1677827,Soma_11W_embryo1_M_HiSeq2500
GSM1677828,Soma_11W_embryo1_M_HiSeq2500_deeper
GSM1677829,Soma_19W_embryo1_M_HiSeq2500
GSM1677830,PGC_10W_embryo1_F_rep1_HiSeq2500
GSM1677831,PGC_10W_embryo1_F_rep2_HiSeq2500
GSM1677832,PGC_11W_embryo1_F_HiSeq2500
GSM1677833,PGC_17W_embryo1_F_HiSeq2500
GSM1677834,Soma_17W_embryo1_F_HiSeq2500
GSM1677835,PGC_10W_embryo2_M_PBAT_HiSeq2500
GSM1677836,PGC_10W_embryo2_M_TA-PBAT_HiSeq2500
